VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2015-07-01 00:04:17,2015-07-01 00:18:47,2,3.7,1,N,249,80,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,,
1,2015-07-01 00:21:35,2015-07-01 00:26:03,2,0.7,2,N,80,112,1,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,
1,2015-07-01 00:36:00,2015-07-01 00:47:09,4,4.0,3,N,112,79,1,14.0,0.5,0.5,3.05,0.0,0.3,18.35,,
1,2015-07-01 00:52:50,2015-07-01 01:11:02,2,8.0,4,N,79,42,2,24.0,0.5,0.5,0.0,0.0,0.3,25.3,,
1,2015-07-01 00:55:26,2015-07-01 01:24:39,1,7.9,5,N,142,143,1,27.5,0.5,0.5,0.66,0.0,0.3,29.46,,
1,2015-07-01 00:16:29,2015-07-01 00:23:34,1,2.5,1,N,163,75,1,9.0,0.5,0.5,3.09,0.0,0.3,13.39,,
1,2015-07-01 00:10:53,2015-07-01 00:24:27,1,2.9,1,N,144,97,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55,,
1,2015-07-01 00:30:01,2015-07-01 00:44:31,1,3.5,1,N,144,229,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,,
1,2015-07-01 00:22:04,2015-07-01 00:34:42,2,2.1,1,N,162,90,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,,
1,2015-07-01 00:44:36,2015-07-01 00:56:17,1,3.4,1,N,179,82,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,,
1,2015-07-01 00:13:01,2015-07-01 00:13:49,2,0.0,1,N,141,141,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,
1,2015-07-01 00:18:07,2015-07-01 00:26:18,1,1.4,1,N,238,236,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,,
1,2015-07-01 00:44:43,2015-07-01 00:53:24,2,1.5,1,N,142,238,1,8.5,0.5,0.5,2.9,0.0,0.3,12.7,,
1,2015-07-01 00:17:43,2015-07-01 03:37:47,1,0.0,1,N,249,249,3,102.5,0.5,0.5,0.0,0.0,0.3,103.8,,
1,2015-07-01 00:12:03,2015-07-01 00:28:27,1,5.7,1,N,163,209,1,18.5,0.5,0.5,3.96,0.0,0.3,23.76,,
1,2015-07-01 00:29:19,2015-07-01 00:35:36,1,0.7,1,N,209,88,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,
1,2015-07-01 00:10:16,2015-07-01 00:13:44,1,0.9,1,N,107,137,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,,
1,2015-07-01 00:28:27,2015-07-01 00:38:26,1,2.8,1,N,170,4,1,11.0,0.5,0.5,3.65,0.0,0.3,15.95,,
1,2015-07-01 00:41:09,2015-07-01 00:58:46,1,6.5,1,N,79,157,1,21.0,0.5,0.5,8.0,0.0,0.3,30.3,,
2,2015-07-01 00:27:03,2015-07-01 00:30:28,1,0.42,1,N,163,161,1,4.0,0.5,0.5,1.59,0.0,0.3,6.89,,
1,2015-07-01 00:11:48,2015-07-01 00:25:51,1,0.7,1,N,161,230,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,,
2,2015-07-01 00:00:18,2015-07-01 00:22:46,6,3.93,1,N,141,249,1,17.0,0.5,0.5,3.66,0.0,0.3,21.96,,
2,2015-07-01 00:27:07,2015-07-01 00:40:39,6,2.29,1,N,249,246,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76,,
1,2015-07-01 00:21:46,2015-07-01 00:47:25,2,5.0,1,N,186,256,1,21.0,0.5,0.5,2.7,0.0,0.3,25.0,,
2,2015-07-01 00:08:21,2015-07-01 00:34:01,1,10.15,1,N,132,198,2,30.0,0.5,0.5,0.0,0.0,0.3,31.3,,